day,even_week,group_name,class_id,title,class_format,type,campus,time,auditory,teacher
Wednesday,true,P3132,230,Информатика,Очно,Лекция,ул.Ломоносова; д.9; лит. М,08:20-09:50,Актовый зал (1216/0 (усл)),Балакшин Павел Валерьевич
Wednesday,true,P3132,231,Основы профессиональной деятельности,Очно,Лекция,ул.Ломоносова; д.9; лит. М,10:00-11:30,Актовый зал (1216/0 (усл)),Клименков Сергей Викторович
Wednesday,true,P3132,232,Основы профессиональной деятельности,Очно,Лабораторная,Кронверкский пр.; д.49; лит.А,13:30-15:20,Ауд. 2112,Ермаков Михаил Константинович
Friday,true,P3132,233,русский-язык,Очно,Лекция,ул.Ломоносова; д.9; лит. М,08:20-11:30,Ауд. 3222,Оксана Колегова
Friday,true,P3132,234,Основы дискретной математики (базовый уровень),Очно,Лекция,Кронверкский пр.; д.49; лит.А,17:00-18:40,Ауд. 1428,Поляков Владимир Иванович
